NºFILAS;boolean ocupcao
1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
2;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
3;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
4;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
5;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
6;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
7;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
8;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
9;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
10;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
11;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
12;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
13;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
14;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
15;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
16;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
17;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
18;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
19;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
20;1;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1
21;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
